REPLICATE |FNAME     |STERICK   |SHAPE     |RADIUS    |RIGIDITY  |GSPEED    |SSPEED    |GFORCE    |KON       |BDIST     |KOFF      |KOFF_F    |NFIL      |NBLOB     |ARPKON    |BLOBSIZE  |VALENCY   |NARP      |
0         |R_6_r_0   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |1.0       |0.03      |1.0       |10.0      |30        |0.5       |1000      |0.03      |4         |315       |
1         |R_6_r_1   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |1.0       |0.03      |1.0       |10.0      |30        |0.5       |1000      |0.03      |4         |315       |
2         |R_6_r_2   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |1.0       |0.03      |1.0       |10.0      |30        |0.5       |1000      |0.03      |4         |315       |
3         |R_6_r_3   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |1.0       |0.03      |1.0       |10.0      |30        |0.5       |1000      |0.03      |4         |315       |
4         |R_6_r_4   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |1.0       |0.03      |1.0       |10.0      |30        |0.5       |1000      |0.03      |4         |315       |
0         |R_7_r_0   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |1.0       |0.03      |1.0       |10.0      |30        |0.5       |1000      |0.03      |4         |378       |
1         |R_7_r_1   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |1.0       |0.03      |1.0       |10.0      |30        |0.5       |1000      |0.03      |4         |378       |
2         |R_7_r_2   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |1.0       |0.03      |1.0       |10.0      |30        |0.5       |1000      |0.03      |4         |378       |
3         |R_7_r_3   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |1.0       |0.03      |1.0       |10.0      |30        |0.5       |1000      |0.03      |4         |378       |
4         |R_7_r_4   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |1.0       |0.03      |1.0       |10.0      |30        |0.5       |1000      |0.03      |4         |378       |
